,artist,play_count,tags,colors
121,Britney Spears,12,pop,#FF97FF
122,Dream Theater,12,progressive metal,#636EFA
123,Chevelle,12,alternative rock,#FFA15A
124,Ramones,12,punk,#AB63FA
125,Marcy Playground,12,alternative,#FFA15A
126,Manilla Road,12,heavy metal,#636EFA
127,The Black Keys,12,blues rock,#00CC96
128,The Faceless,12,technical death metal,#636EFA
129,Power Glove,12,synthwave,#FECB52
130,Real Estate,12,lo-fi,#EF553B
131,Nine Inch Nails,11,industrial,#EF553B
132,Electric Wizard,11,doom metal,#636EFA
133,Audioslave,11,rock,#00CC96
134,Guns N' Roses,11,hard rock,#00CC96
135,Slipknot,11,nu metal,#636EFA
136,Fu Manchu,11,stoner rock,#00CC96
137,Bathory,11,black metal,#636EFA
138,The Devin Townsend Band,11,progressive metal,#636EFA
139,Desert Sessions,11,stoner rock,#00CC96
140,Ged Grimes,11,folk,#EF553B
141,Rihanna,11,pop,#FF97FF
142,In This Moment,11,metalcore,#636EFA
143,Angel Vivaldi,11,progressive metal,#636EFA
144,CRX,11,indie rock,#19D3F3
145,Artifex Pereo,11,post-hardcore,#636EFA
146,Them Crooked Vultures,11,hard rock,#00CC96
147,Pomegranate Tiger,11,progressive metal,#636EFA
148,Purity Ring,11,electronic,#FECB52
149,David Bowie,10,rock,#00CC96
150,Queen,10,classic rock,#00CC96
151,Led Zeppelin,10,classic rock,#00CC96
152,The Beatles,10,classic rock,#00CC96
153,Strapping Young Lad,10,industrial metal,#636EFA
154,Heart,10,classic rock,#00CC96
155,Mondo Generator,10,stoner rock,#00CC96
156,Drake,10,hip-hop,#B6E880
157,High on Fire,10,stoner metal,#636EFA
158,Kings of Leon,10,rock,#00CC96
159,Deathspell Omega,10,black metal,#636EFA
160,Merrow,10,progressive metal,#636EFA
161,Tribulation,10,death metal,#636EFA
162,The Dear Hunter,10,progressive rock,#00CC96
163,Red Fang,10,stoner rock,#00CC96
164,Cage the Elephant,10,indie rock,#19D3F3
165,Alabama Shakes,10,blues,#00CC96
166,Polyphia,10,progressive metal,#636EFA
167,The Rolling Stones,9,classic rock,#00CC96
168,Soundgarden,9,grunge,#EF553B
169,Tom Waits,9,blues,#00CC96
170,Linkin Park,9,rock,#00CC96
171,Slayer,9,thrash metal,#636EFA
172,Rammstein,9,industrial metal,#636EFA
173,The Runaways,9,hard rock,#00CC96
174,Suicidal Tendencies,9,hardcore,#636EFA
175,Porcupine Tree,9,progressive rock,#00CC96
176,Meshuggah,9,progressive metal,#636EFA
177,Evanescence,9,rock,#00CC96
178,Metric,9,indie,#19D3F3
179,Victoria,9,neofolk,#EF553B
180,Alarum,9,progressive metal,#636EFA
181,The Hillbilly Moon Explosion,9,rockabilly,#FF6692
182,Mgła,9,black metal,#636EFA
183,Vampire Weekend,9,indie,#19D3F3
184,Die Antwoord,9,hip-hop,#B6E880
185,Outrun The Sunlight,9,progressive metal,#636EFA
186,Eminem,8,rap,#B6E880
187,Supergrass,8,britpop,#FF97FF
188,Madonna,8,pop,#FF97FF
189,Santana,8,rock,#00CC96
190,Pearl Jam,8,grunge,#EF553B
191,Foo Fighters,8,rock,#00CC96
192,Bon Jovi,8,rock,#00CC96
193,Justin Timberlake,8,pop,#FF97FF
194,DGM,8,progressive metal,#636EFA
195,Indukti,8,progressive metal,#636EFA
196,Katy Perry,8,pop,#FF97FF
197,Intervals,8,progressive metal,#636EFA
198,Vasudeva,8,post-rock,#00CC96
199,The Safety Fire,8,progressive metal,#636EFA
