Date,Weight,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Mood,Pain,Tired
2020-08-17,162,2114,1043,0.49,0,481,95,0,0,339,7,0,0
2020-08-18,162.6,2308,4656,2.19,1,714,146,9,8,690,7,0,0
2020-08-19,161,2183,3723,1.77,2,1289,136,7,8,584,7,0,0
2020-08-20,159,2579,1915,0.82,2,426,169,11,0,795,7,0,0
2020-08-21,159,2377,3633,1.69,1,900,154,3,8,672,7,0,1
2020-08-22,159.8,2680,8426,3.99,6,766,246,18,14,1190,7,0,1
2020-08-23,160.8,2565,7258,3.44,3,821,204,7,17,1039,7,0,1
2020-08-24,160.2,2588,6925,3.23,2,767,218,20,16,1068,7,0,1
2020-08-25,161.2,2290,3903,1.83,1,965,113,5,9,567,7,0,1
2020-08-26,159.6,2851,5680,2.78,3,815,254,18,20,1283,7,0,0
2020-08-27,,2257,4014,1.89,1,533,120,12,7,604,7,1,0
2020-08-28,160.2,2375,5260,2.5,3,859,170,8,15,797,7,1,0
2020-08-29,161.2,2098,2884,1.36,2,927,97,7,7,428,7,1,0
2020-08-30,159.6,2944,7273,3.42,4,759,194,31,39,1357,7,0,0
2020-08-31,160,1956,477,0.22,0,401,49,0,0,184,7,0,0
