Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
1971304,City of Thieves,David Benioff,"Benioff, David",,"=""0670018708""","=""9780670018703""",0,4.26,Viking Books,Hardcover,258,2008,2008,,2016/11/28,to-read,to-read (#263),to-read,,,,0,,,0,,,,,
11535,The Crook Factory,Dan Simmons,"Simmons, Dan",,"=""0380789175""","=""9780380789177""",0,3.80,HarperTorch,Paperback,580,2000,1999,,2016/11/28,to-read,to-read (#262),to-read,,,,0,,,0,,,,,
21326,"Fables, Vol. 1: Legends in Exile",Bill Willingham,"Willingham, Bill","Lan Medina, Steve Leialoha, Terry Moore, Mike Allred, Mark Buckingham, Matthew Sturges, Russ Braun, Craig Hamilton, James Jean, Tony Akins, Eric Shanower, Shawn McManus, Jae Lee, Chrissie Zullo, David Petersen","=""1563899426""","=""9781563899423""",0,3.97,Vertigo,Paperback,128,2002,2002,,2016/11/27,to-read,to-read (#261),to-read,,,,0,,,0,,,,,
359195,"Lucifer, Vol. 1: Devil in the Gateway",Mike Carey,"Carey, Mike","Scott Hampton, Chris Weston, James Hodgkins, Warren Pleece, Dean Ormston, Neil Gaiman","=""1563897334""","=""9781563897337""",0,4.10,Vertigo,Paperback,160,2001,2001,,2016/11/27,to-read,to-read (#260),to-read,,,,0,,,0,,,,,
4070095,Asterios Polyp,David Mazzucchelli,"Mazzucchelli, David",,"=""0307377326""","=""9780307377326""",0,4.19,Pantheon,Hardcover,344,2009,2009,,2016/11/27,to-read,to-read (#259),to-read,,,,0,,,0,,,,,
8477057,Daytripper,Fábio Moon,"Moon, Fábio","Gabriel Bá, Craig Thompson, Dave    Stewart, Sean Konot","=""1401229697""","=""9781401229696""",0,4.32,Vertigo (DC Comics),Paperback,256,2011,2011,,2016/11/27,to-read,to-read (#258),to-read,,,,0,,,0,,,,,
23754,"Preludes & Nocturnes (The Sandman, #1)",Neil Gaiman,"Gaiman, Neil","Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen  Berger, Daniel Vozzo","=""1563892278""","=""9781563892271""",0,4.23,Vertigo,Hardcover,233,1998,1991,,2016/11/27,to-read,to-read (#257),to-read,,,,0,,,0,,,,,
89724,We Have Always Lived in the Castle,Shirley Jackson,"Jackson, Shirley",Jonathan Lethem,"=""0143039970""","=""9780143039976""",0,3.98,Penguin Books,Paperback,146,2006,1962,,2016/11/27,to-read,to-read (#256),to-read,,,,0,,,0,,,,,
415459,I Have No Mouth and I Must Scream,Harlan Ellison,"Ellison, Harlan",Theodore Sturgeon,"=""0441363954""","=""9780441363957""",0,3.97,Ace Books,Mass Market Paperback,134,1984,1967,,2016/11/27,to-read,to-read (#255),to-read,,,,0,,,0,,,,,
21965714,"Flex ('Mancer, #1)",Ferrett Steinmetz,"Steinmetz, Ferrett",,"=""0857664603""","=""9780857664600""",0,3.81,Angry Robot,Paperback,429,2015,2015,,2016/11/27,to-read,to-read (#254),to-read,,,,0,,,0,,,,,
164719,"Lord Loss (The Demonata, #1)",Darren Shan,"Shan, Darren",,"=""0316012335""","=""9780316012331""",0,4.23,"Little, Brown Books for Young Readers",Paperback,224,2006,2005,,2016/11/27,to-read,to-read (#253),to-read,,,,0,,,0,,,,,
2800905,"The Summoning (Darkest Powers, #1)",Kelley Armstrong,"Armstrong, Kelley",,"=""0061662690""","=""9780061662690""",0,4.01,HarperCollins,Hardcover,390,2008,2008,,2016/11/27,to-read,to-read (#252),to-read,,,,0,,,0,,,,,
25152,"Uzumaki: Spiral into Horror, Vol. 1",Junji Ito,"Ito, Junji",,"=""1569317143""","=""9781569317143""",0,4.33,Viz Media,Paperback,208,2001,1998,,2016/11/27,to-read,to-read (#251),to-read,,,,0,,,0,,,,,
8722254,"God Touched (Demon Accords, #1)",John Conroe,"Conroe, John",,"=""""","=""""",0,4.14,,Kindle Edition,408,2010,2010,,2016/11/27,to-read,to-read (#250),to-read,,,,0,,,0,,,,,
17345209,"The Bat (Harry Hole, #1)",Jo Nesbø,"Nesbø, Jo",Don Bartlett,"=""034580709X""","=""9780345807090""",0,3.56,Vintage Crime/Black Lizard,Paperback,369,2013,1997,,2016/11/27,to-read,to-read (#249),to-read,,,,0,,,0,,,,,
15034320,"Pines (Wayward Pines, #1)",Blake Crouch,"Crouch, Blake",,"=""1469216000""","=""9781469216003""",0,3.92,Brilliance Audio,Audio CD,309,2012,2012,,2016/11/27,to-read,to-read (#248),to-read,,,,0,,,0,,,,,
56228,The Metabarons #1: Othon & Honorata,Alejandro Jodorowsky,"Jodorowsky, Alejandro",Juan Giménez,"=""1401203620""","=""9781401203627""",0,4.12,Humanoids - Rebellion,Paperback,136,2004,2000,,2016/11/27,to-read,to-read (#247),to-read,,,,0,,,0,,,,,
6914910,Universal War One (Universal War One #1-6),Denis Bajram,"Bajram, Denis",,"=""2302008049""","=""9782302008045""",0,4.10,Soleil Productions,Hardcover,347,2009,2008,,2016/11/27,to-read,to-read (#246),to-read,,,,0,,,0,,,,,
7810429,"The City of Shifting Waters (Valérian and Laureline, #1)",Pierre Christin,"Christin, Pierre","Jean-Claude Mézières, Jerome Saincantin","=""1849180385""","=""9781849180382""",0,3.41,Cinebook Ltd,Paperback,48,2010,1970,,2016/11/27,to-read,to-read (#245),to-read,,,,0,,,0,,,,,
295030,"2001 Nights: The Death Trilogy Overture (2001 Nights Trilogy, #1)",Yukinobu Hoshino,"Hoshino, Yukinobu",,"=""1569310564""","=""9781569310564""",0,4.28,VIZ Media LLC,Paperback,246,1996,1985,,2016/11/27,to-read,to-read (#244),to-read,,,,0,,,0,,,,,
23153154,"Memory Man (Amos Decker, #1)",David Baldacci,"Baldacci, David",,"=""1455559822""","=""9781455559824""",0,4.07,Grand Central Publishing,Hardcover,416,2015,2015,,2016/11/27,to-read,to-read (#243),to-read,,,,0,,,0,,,,,
865,The Alchemist,Paulo Coelho,"Coelho, Paulo",Alan R. Clarke,"=""0061122416""","=""9780061122415""",0,3.88,HarperCollins,Paperback,197,1993,1988,,2016/11/27,to-read,to-read (#242),to-read,,,,0,,,0,,,,,
776212,Tuf Voyaging,George R.R. Martin,"Martin, George R.R.",,"=""1592220053""","=""9781592220052""",0,4.10,Meisha Merlin Publishing,Paperback,440,2004,1986,,2016/11/27,to-read,to-read (#241),to-read,,,,0,,,0,,,,,
9533378,"Hounded (The Iron Druid Chronicles, #1)",Kevin Hearne,"Hearne, Kevin",,"=""0345522478""","=""9780345522474""",0,4.08,Del Rey,Mass Market Paperback,304,2011,2011,,2016/11/27,to-read,to-read (#240),to-read,,,,0,,,0,,,,,
1421990,"Halfway to the Grave (Night Huntress, #1)",Jeaniene Frost,"Frost, Jeaniene",,"=""0061245089""","=""9780061245084""",0,4.14,Avon,Mass Market Paperback,358,2007,2007,,2016/11/27,to-read,to-read (#239),to-read,,,,0,,,0,,,,,
6255949,All You Need Is Kill,Hiroshi Sakurazaka,"Sakurazaka, Hiroshi",Alexander O. Smith,"=""1421527618""","=""9781421527611""",0,4.06,Haikasoru,Paperback,201,2009,2004,,2016/11/27,to-read,to-read (#238),to-read,,,,0,,,0,,,,,
10814635,"A Soldier's Duty (Theirs Not to Reason Why, #1)",Jean Johnson,"Johnson, Jean",,"=""0441020631""","=""9780441020638""",0,3.98,Ace,Mass Market Paperback,432,2011,2011,,2016/11/27,to-read,to-read (#237),to-read,,,,0,,,0,,,,,
8908,World War Z: An Oral History of the Zombie War,Max Brooks,"Brooks, Max",,"=""0307346609""","=""9780307346605""",0,4.01,Crown,Hardcover,342,2006,2006,,2016/11/27,to-read,to-read (#236),to-read,,,,0,,,0,,,,,
16286,The Magus,John Fowles,"Fowles, John",,"=""0316296198""","=""9780316296199""",0,4.05,Back Bay Books,Paperback,656,2001,1965,,2016/11/27,to-read,to-read (#235),to-read,,,,0,,,0,,,,,
393146,"The Naming (The Books of Pellinor, #1)",Alison Croggon,"Croggon, Alison",,"=""0763631620""","=""9780763631628""",0,4.01,Candlewick Press,Paperback,492,2006,2002,,2016/11/27,to-read,to-read (#234),to-read,,,,0,,,0,,,,,
16331,"Murder at the Vicarage (Miss Marple, #1)",Agatha Christie,"Christie, Agatha",,"=""1579126251""","=""9781579126254""",0,4.06,Black Dog & Leventhal Publishers,Hardcover,288,2006,1930,,2016/11/27,to-read,to-read (#233),to-read,,,,0,,,0,,,,,
16343,"The Mysterious Affair at Styles (Hercule Poirot, #1)",Agatha Christie,"Christie, Agatha",,"=""0646418432""","=""9780646418438""",0,3.98,Deodand,Paperback,121,2002,1920,,2016/11/27,to-read,to-read (#232),to-read,,,,0,,,0,,,,,
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""0312330871""","=""9780312330873""",0,4.26,St. Martin's Press,Paperback,264,2004,1939,,2016/11/27,to-read,to-read (#231),to-read,,,,0,,,0,,,,,
438452,The Long Ships,Frans G. Bengtsson,"Bengtsson, Frans G.",Michael   Meyer,"=""000612609X""","=""9780006126096""",0,4.28,HarperCollins,Paperback,477,1994,1945,,2016/11/27,to-read,to-read (#230),to-read,,,,0,,,0,,,,,
669460,The Children of Cthulhu: Chilling New Tales Inspired by H.P. Lovecraft,John Pelan,"Pelan, John","Benjamin Adams, Paul Finch, Alan Dean Foster, Michael Reaves, Meredith L. Patterson, Poppy Z. Brite, W.H. Pugmire, Steve Rasnic Tem, Caitlín R. Kiernan, Weston Ochse, China Miéville, Brian Hodge, Matt Cardin, James Robert Smith, James Van Pelt, L.H. Maynard, M.P.N. Sims, Richard Laymon, Mark Chadbourn, Yvonne Navarro, James Dorr","=""0345449266""","=""9780345449269""",0,4.13,Del Rey,Hardcover,480,2010,2003,,2016/11/27,to-read,to-read (#229),to-read,,,,0,,,0,,,,,
11297,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0375704027""","=""9780375704024""",0,4.03,Vintage Books,Paperback,296,2000,1987,,2016/11/27,to-read,to-read (#228),to-read,,,,0,,,0,,,,,
6665847,"Daemon (Daemon, #1)",Daniel Suarez,"Suarez, Daniel",,"=""0451228731""","=""9780451228734""",0,4.15,Signet,Mass Market Paperback,632,2009,2006,,2016/11/27,to-read,to-read (#227),to-read,,,,0,,,0,,,,,
30264,"Dead Witch Walking (The Hollows, #1)",Kim Harrison,"Harrison, Kim",,"=""0060572965""","=""9780060572969""",0,4.03,HarperTorch,Mass Market Paperback,416,2004,2004,,2016/11/27,to-read,to-read (#226),to-read,,,,0,,,0,,,,,
29396,"Furies of Calderon (Codex Alera, #1)",Jim Butcher,"Butcher, Jim",,"=""044101268X""","=""9780441012688""",0,4.11,Ace,Paperback,504,2005,2004,,2016/11/27,to-read,to-read (#225),to-read,,,,0,,,0,,,,,
17333324,"Ancillary Justice (Imperial Radch, #1)",Ann Leckie,"Leckie, Ann",,"=""031624662X""","=""9780316246620""",0,3.97,Orbit,Paperback,416,2013,2013,,2016/11/27,to-read,to-read (#224),to-read,,,,0,,,0,,,,,
589979,"Daughter of the Empire (The Empire Trilogy, #1)",Raymond E. Feist,"Feist, Raymond E.",Janny Wurts,"=""055327211X""","=""9780553272116""",0,4.27,Spectra,Mass Market Paperback,421,1988,1987,,2016/11/27,to-read,to-read (#223),to-read,,,,0,,,0,,,,,
126431,"Sabriel (The Old Kingdom Trilogy, #1)",Garth Nix,"Nix, Garth",,"=""1741140404""","=""9781741140408""",0,4.14,Allen & Unwin,Paperback,395,2001,1995,,2016/11/27,to-read,to-read (#222),to-read,,,,0,,,0,,,,,
27274895,Fire (The Elementals #1),L.B. Gilbert,"Gilbert, L.B.",,"=""""","=""""",0,4.09,L.B. Gilbert Books,Kindle Edition,362,2015,2015,,2016/11/27,to-read,to-read (#221),to-read,,,,0,,,0,,,,,
5582295,Homecoming (Mercy Thompson Graphic Novel),Patricia Briggs,"Briggs, Patricia","David    Lawrence, Francis Tsai, Amelia Woo","=""0345509889""","=""9780345509888""",0,4.07,Del Rey Books,Hardcover,112,2009,2009,,2016/11/27,to-read,to-read (#220),to-read,,,,0,,,0,,,,,
